name,rarity,category,uses,recycle_safe,recycle_outputs,notes,sources
Advanced ARC Powercell,Rare,Component,"Advanced Ammo/Battery crafting",Yes,"2x ARC Powercell","High-value salvage; keep if using energy weapons","ARC: Rocketeer/Heavy"
Advanced Electrical Components,Rare,Material,"Gear Bench III; Utility Station III; High-tier tech",Yes,"1x Electrical Components; 1x Wires","CRITICAL: Do not recycle until benches are maxed","Tech: Server Rooms"
Advanced Mechanical Components,Rare,Material,"Gunsmith III; Weapon Crafting",Yes,"1x Mechanical Components; 1x Wires","CRITICAL: Do not recycle until Gunsmith III is complete","Mech: Garages/Industrial"
Agave,Uncommon,Nature,"Currency for Celeste",No,"3x Assorted Seeds","Trade item; convert to seeds if not needed","Nature: Arid Biomes"
Air Freshener,Uncommon,Recyclable,"Chemical salvage",Yes,"4x Chemicals","Safe to recycle","Mech: Cars/Interiors"
Alarm Clock,Rare,Recyclable,"Electronics salvage",Yes,"1x Processor; 6x Plastic Parts","Excellent source of processors","Res: Bedrooms"
Antiseptic,Rare,Medical,"Medical Lab III; Quest: Doctor's Orders",Yes,"10x Chemicals","Keep 10+ for quests before recycling","Med: Cabinets"
Apricot,Uncommon,Nature,"Scrappy Upgrades (Lvl 3 & 5)",No,"3x Assorted Seeds","Keep ~15 for Scrappy progression","Nature: Orchards"
ARC Alloy,Uncommon,Material,"Foundation Upgrade Material; Quest: Clearer Skies",Yes,"2x Metal Parts","Keep at least 100 in stash; used everywhere","ARC: All Types"
ARC Circuitry,Rare,Component,"Refiner III; Power Projects",Yes,"2x ARC Alloy","Late-game material; stash until Refiner maxed","ARC: Couriers/Probes"
ARC Coolant,Rare,Recyclable,"Chemical farm",Yes,"16x Chemicals","High yield chemical source","ARC: Machines"
ARC Flex Rubber,Rare,Recyclable,"Rubber farm",Yes,"16x Rubber Parts","High yield rubber source","ARC: Machines"
ARC Motion Core,Rare,Component,"Refiner II; Boss Trophies",Yes,"2x ARC Alloy","Keep 5-10 for upgrades; recycle excess","ARC: Rollers/Fireballs"
ARC Performance Steel,Rare,Recyclable,"Metal farm",Yes,"12x Metal Parts","High yield metal source","ARC: Machines"
ARC Powercell,Common,Component,"Refiner I; Shield Crafting",No,,"Base fuel for station upgrades","ARC: Common Drops"
ARC Synthetic Resin,Rare,Recyclable,"Plastic farm",Yes,"14x Plastic Parts","High yield plastic source","ARC: Machines"
ARC Thermo Lining,Rare,Recyclable,"Fabric farm",Yes,"16x Fabric","High yield fabric source","ARC: Machines"
Assorted Seeds,Common,Nature,"Currency for Celeste",No,,"Primary currency for the nature trader","Nature: Plants"
Bastion Cell,Epic,Boss Part,"Gear Bench III",Yes,"2x ARC Motion Core; 2x Adv. Mech. Components","Boss drop; keep for high-tier upgrades","ARC: Bastion Tank"
Battery,Uncommon,Material,"Expedition Framework; Quest: Trash into Treasure",No,,"Essential power unit; cannot be crafted","Tech: Electronics"
Bettina Blueprint,Epic,Blueprint,"Unlocks Bettina Weapon",No,,"Unlocks crafting recipe","Loot: Secure Crates"
Bicycle Pump,Rare,Recyclable,"Metal/Canister salvage",Yes,"4x Canister; 10x Metal Parts","Good early game salvage","Res: Garages"
Bloated Tuna Can,Common,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell to traders for cash","Res: Kitchens"
Blue Gate Cellar Key,Uncommon,Key,"Unlocks Blue Gate Cellar",No,,"Unlocks loot room","Loot: Jackets/Drawers"
Blue Gate Comm. Tower Key,Rare,Key,"Unlocks Comm Tower",No,,"High value loot room","Loot: Jackets/Drawers"
Blue Gate Confiscation Key,Epic,Key,"Unlocks Confiscation Room",No,,"Epic tier loot room","Loot: Jackets/Drawers"
Blue Gate Village Key,Uncommon,Key,"Unlocks Village houses",No,,"Standard loot key","Loot: Jackets/Drawers"
Blue Light Stick,Common,Consumable,"Illumination",No,,"Utility item","Loot: Crates"
Bombardier Cell,Epic,Boss Part,"Refiner III",Yes,"2x Adv. Mech. Components; 2x ARC Alloy","Boss drop; keep for Refiner upgrade","ARC: Bombardier"
Breathtaking Snow Globe,Epic,Trinket,"High value sellable",Yes,"(None - Sell Item)","Sell for significant cash","Res: Luxury"
Broken Flashlight,Rare,Recyclable,"Battery salvage",Yes,"3x Battery; 7x Metal Parts","Good battery source","Security: Guards"
Broken Guidance System,Rare,Recyclable,"Processor salvage",Yes,"2x Processor","High tech salvage","Ind: Tech Piles"
Broken Handheld Radio,Rare,Recyclable,"Sensor salvage",Yes,"2x Sensors; 4x Wires","Good sensor source","Security: Guards"
Broken Taser,Rare,Recyclable,"Battery/Wire salvage",Yes,"1x Battery; 3x Wires","Standard tech salvage","Security: Guards"
Buried City Hospital Key,Rare,Key,"Unlocks Hospital Storage",No,,"Medical loot room","Loot: Jackets/Drawers"
Buried City JKV Access Card,Uncommon,Key,"Unlocks JKV Office",No,,"Office loot","Loot: Jackets/Drawers"
Buried City Residential Key,Uncommon,Key,"Unlocks Apartments",No,,"Residential loot","Loot: Jackets/Drawers"
Buried City Town Hall Key,Epic,Key,"Unlocks Town Hall Archive",No,,"High tier loot","Loot: Jackets/Drawers"
Burned ARC Circuitry,Uncommon,Recyclable,"Alloy salvage",Yes,"2x ARC Alloy","Basic ARC salvage","ARC: Destroyed Drones"
Burned Tick Pod,Uncommon,Recyclable,"Chemical salvage",Yes,"2x Chemicals","Basic ARC salvage","ARC: Ticks"
Camera Lens,Uncommon,Recyclable,"Quest: Movie Night; Plastic salvage",Yes,"8x Plastic Parts","Keep for quest; otherwise scrap","Res: Tourist Spots"
Canister,Uncommon,Material,"Humidifiers; Expedition Supplies",Yes,"3x Plastic Parts","Keep for crafting utilities","Comm: Stores"
Cat Bed,Common,Junk,"Scrappy Upgrade Lvl 4",No,,"Required for pet upgrade","Res: Living Rooms"
Chemicals,Common,Material,"Explosives; Medical supplies",No,,"Base crafting material","Ind: Barrels"
Coffee Pot,Common,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Kitchens"
Complex Gun Parts,Epic,Material,"Advanced Weapon Crafting",Yes,"3x Simple Gun Parts","Late game weapon material","Security: Armories"
Coolant,Rare,Recyclable,"Chemical/Oil salvage",Yes,"5x Chemicals; 2x Oil","Good hybrid salvage","Mech: Engines"
Cooling Coil,Rare,Recyclable,"Spring salvage",Yes,"6x Chemicals; 2x Steel Spring","Good source of springs","Ind: HVAC"
Cooling Fan,Rare,Recyclable,"Expedition Core Systems",Yes,"14x Plastic Parts; 4x Battery","Keep for Expedition upgrades","Tech: Computers"
Cracked Bioscanner,Rare,Medical,"Medical Lab III",Yes,"3x Rubber Parts; 5x Battery","Keep for Medical Lab upgrade","Med: Labs"
Crude Explosives,Uncommon,Material,"Explosives Station II",Yes,"3x Chemicals","Crafting component","Ind: Hazard Crates"
Crumpled Plastic Bottle,Uncommon,Recyclable,"Plastic salvage",Yes,"3x Plastic Parts","Basic plastic source","Res: Trash"
Dam Control Tower Key,Epic,Key,"Unlocks Dam Control",No,,"Epic loot room","Loot: Jackets/Drawers"
Dam Staff Room Key,Uncommon,Key,"Unlocks Staff Area",No,,"Standard loot","Loot: Jackets/Drawers"
Dam Surveillance Key,Uncommon,Key,"Unlocks Security Room",No,,"Security loot","Loot: Jackets/Drawers"
Dam Testing Annex Key,Rare,Key,"Unlocks Testing Lab",No,,"Tech loot","Loot: Jackets/Drawers"
Dam Utility Key,Uncommon,Key,"Unlocks Maintenance",No,,"Industrial loot","Loot: Jackets/Drawers"
Damaged ARC Motion Core,Uncommon,Recyclable,"Alloy salvage",Yes,"2x ARC Alloy","Salvage fodder","ARC: Remains"
Damaged ARC Powercell,Common,Recyclable,"Alloy salvage",Yes,"1x ARC Alloy","Salvage fodder","ARC: Remains"
Damaged Fireball Burner,Common,Recyclable,"Alloy salvage",Yes,"1x ARC Alloy","Salvage fodder","ARC: Fireball"
Damaged Heat Sink,Rare,Recyclable,"Utility Station II",Yes,"6x Metal Parts; 2x Wires","Keep for Utility Station","Tech: Computers"
Damaged Hornet Driver,Common,Recyclable,"Quest: The Trifecta",Yes,"2x ARC Alloy","Keep for quest","ARC: Hornet"
Damaged Rocketeer Driver,Common,Recyclable,"Alloy salvage",Yes,"3x ARC Alloy","Salvage fodder","ARC: Rocketeer"
Damaged Snitch Scanner,Common,Recyclable,"Alloy salvage",Yes,"(No listed components)","Flavor item/low value","ARC: Snitch"
Damaged Tick Pod,Common,Recyclable,"Alloy salvage",Yes,"1x ARC Alloy","Salvage fodder","ARC: Tick"
Damaged Wasp Driver,Common,Recyclable,"Alloy salvage",Yes,"1x ARC Alloy","Salvage fodder","ARC: Wasp"
Dart Board,Uncommon,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Bars"
Deflated Football,Uncommon,Recyclable,"Rubber salvage",Yes,"15x Rubber Parts","Excellent rubber source","Res: Parks"
Degraded ARC Rubber,Uncommon,Recyclable,"Rubber salvage",Yes,"11x Rubber Parts","Good rubber source","ARC: Remains"
Diving Goggles,Rare,Recyclable,"Rubber salvage",Yes,"12x Rubber Parts","Good rubber source","Res: Pools"
Dog Collar,Rare,Junk,"Scrappy Upgrade Lvl 2 (Range)",No,,"REQUIRED: Increases scavenger range","Res: Pets"
Dried-Out ARC Resin,Uncommon,Recyclable,"Plastic salvage",Yes,"9x Plastic Parts","Good plastic source","ARC: Remains"
Duct Tape,Uncommon,Material,"Fabric crafting",Yes,"3x Fabric","Generic adhesive","Ind: Toolboxes"
Durable Cloth,Uncommon,Material,"Medical Lab II; Caravan",Yes,"6x Fabric","Keep for upgrades","Comm: Clothing"
Electrical Components,Uncommon,Material,"Utility/Gear upgrades",Yes,"3x Plastic Parts; 3x Rubber Parts","Mid-game bottleneck item","Tech: Panels"
Exodus Modules,Epic,Material,"High-tier Expedition Projects",Yes,"2x Magnet; 1x Mech. Components","End-game material","Exodus: Pods"
Expired Pasta,Common,Trinket,"Selling for cash",Yes,"(None - Sell Item)","Sell item","Res: Kitchens"
Expired Respirator,Rare,Recyclable,"Rubber/Fabric salvage",Yes,"8x Rubber Parts; 4x Fabric","Good hybrid salvage","Ind: Safety Gear"
Explosive Compound,Rare,Material,"Explosives Station III",Yes,"2x Crude Explosives","Advanced explosive crafting","Ind: Hazard"
Fabric,Common,Material,"Medical/Armor crafting",No,,"Base material","Res: Cloth"
Fertilizer,Uncommon,Nature,"Quest Item; Seed conversion",Yes,"2x Assorted Seeds","Keep 1 for quest","Nature: Farms"
Fine Wristwatch,Epic,Trinket,"High value sellable",Yes,"(None - Sell Item)","Sell for significant cash","Res: Jewelry"
