name,rarity,category,uses,recycle_safe,recycle_outputs,notes,sources
Advanced ARC Powercell,Rare,Refined / Advanced,Refiner I prerequisite via ARC Powercell,Keep,ARC Powercell ×2,Keep if you still need standard ARC Powercells to unlock/upgrade benches.,Master index (this chat)
Advanced Electrical Components,Rare,Refined / Advanced,Gear Bench III ×5; Utility Station III ×5; Project IV ×5,Keep,Electrical Components; Wires,Gate for higher bench tiers; keep until upgrades complete.,Master index (this chat)
Advanced Mechanical Components,Rare,Refined / Advanced,Gunsmith III ×5,Keep,Mechanical Components; Steel Spring,Needed for late Gunsmith tier.,Master index (this chat)
Agave,Uncommon,Nature,Converts to seeds for trading,No,,Treat as nature currency; either non‑recyclable or converts to Assorted Seeds.,Master index (this chat)
Agave Juice,Common,Quick Use,Consumable,No,,Consumables generally cannot be recycled.,Master index (this chat)
Air Freshener,Uncommon,Trinket,,No,,Trinket; not recyclable.,Master index (this chat)
Alarm Clock,Rare,Loot / Recyclable,,Yes,Plastic Parts ×6; Processor ×1,Good electronic salvage.,Master index (this chat)
Antiseptic,Rare,Refined / Medical,Medical Lab III ×8; Quest: Doctor’s Orders ×2,Keep,Chemicals ×10,Bench and quest item; recycle only after upgrades.,Master index (this chat)
Apricot,Uncommon,Nature,Scrappy Lv3 ×5; Scrappy Lv5 ×12,Keep,Assorted Seeds ×3,Keep for Scrappy companion training milestones.,Master index (this chat)
ARC Alloy,Uncommon,Topside Material,Explosives/Medical/Utility Station I unlocks; Projects I ×80,Yes,Metal Parts ×2,Common mid‑tier crafting foundation; keep a healthy stack.,Master index (this chat)
ARC Circuitry,Rare,Topside Material,Refiner III ×10,Keep,ARC Alloy ×2,Useful for high‑tier refining upgrades.,Master index (this chat)
ARC Coolant,Rare,Topside Material,,Yes,Chemicals ×16,High chemical yield.,Master index (this chat)
ARC Flex Rubber,Rare,Topside Material,,Yes,Rubber Parts ×16,High rubber yield.,Master index (this chat)
ARC Motion Core,Rare,Topside Material,Refiner II ×5,Keep,ARC Alloy ×2,Hold if you still need Refiner II.,Master index (this chat)
ARC Performance Steel,Rare,Topside Material,,Yes,Metal Parts ×12,Great metal yield.,Master index (this chat)
ARC Powercell,Common,Basic Power,Early bench prerequisites and upgrades,No,,Foundational power item; non‑recyclable.,Master index (this chat)
ARC Synthetic Resin,Rare,Topside Material,,Yes,Plastic Parts ×14,Solid plastic yield.,Master index (this chat)
ARC Thermo Lining,Rare,Topside Material,,Yes,Fabric ×16,Strong fabric yield.,Master index (this chat)
Assorted Seeds,Common,Nature Currency,Trade with Celeste; Scrappy fruit milestones,No,,Treat as currency; don’t recycle.,Master index (this chat)
Bastion Cell,Epic,Advanced Power,Gear Bench III ×6,Keep,ARC Motion Core ×2; Advanced Mechanical Components ×2,High‑tier; keep for late benches.,Master index (this chat)
Battery,Uncommon,Topside Material,Projects III ×30,Keep,Metal Parts ×2,Common but needed for projects.,Master index (this chat)
Bicycle Pump,Rare,Loot / Recyclable,,Yes,Canister ×4; Metal Parts ×10,Excellent early‑game salvage.,Master index (this chat)
Bloated Tuna Can,Common,Trinket,,No,,Flavor item; not recyclable.,Master index (this chat)
Blown Fuses,Common,Trinket,,No,,Not recyclable.,Master index (this chat)
Communication Tower Blue Gate Key,Varies,Key,Unlocks Blue Gate doors/containers,No,,Keys are never recyclable.,Master index (this chat)
Bombardier Cell,Epic,Advanced Power,Refiner III ×6,Keep,Advanced Mechanical Components ×2; ARC Alloy ×2,Hold until late‑game benches are finished.,Master index (this chat)
Breathtaking Snow Globe,Epic,Trinket,,No,,Display item only.,Master index (this chat)
